# Ignition 8.3.8 public REST operation catalog generated from a real Gateway /openapi.json.
# source_sha256=41b205cdfa44fc7513903cc86f6996d23e19a84bcf4f08b8fdd9eaef05898d4f
# method<TAB>path_template<TAB>owner_kind(platform|module|private-module)<TAB>required_module_ids(comma-separated or -)
DELETE	/data/alarm-notification/api/v1/pipeline	module	com.inductiveautomation.alarm-notification
GET	/data/alarm-notification/api/v1/pipeline	module	com.inductiveautomation.alarm-notification
GET	/data/alarm-notification/api/v1/pipelines	module	com.inductiveautomation.alarm-notification
PUT	/data/api/v1/activation/activate/{key}	platform	-
GET	/data/api/v1/activation/is-online	platform	-
POST	/data/api/v1/activation/offline/activate	platform	-
GET	/data/api/v1/activation/offline/activate-request/{key}	platform	-
POST	/data/api/v1/activation/offline/unactivate/{key}	platform	-
PUT	/data/api/v1/activation/reactivate/{key}	platform	-
POST	/data/api/v1/activation/unactivate/{key}	platform	-
POST	/data/api/v1/api-token/generate	platform	-
GET	/data/api/v1/audit/log/{name}	platform	-
GET	/data/api/v1/audit/remote-profiles/{serverId}	platform	-
GET	/data/api/v1/backup	platform	-
POST	/data/api/v1/backup	platform	-
DELETE	/data/api/v1/designer/{id}	platform	-
GET	/data/api/v1/designer/{id}	platform	-
GET	/data/api/v1/designers	platform	-
GET	/data/api/v1/diagnostics/bundle/download	platform	-
POST	/data/api/v1/diagnostics/bundle/generate	platform	-
GET	/data/api/v1/diagnostics/bundle/status	platform	-
GET	/data/api/v1/diagnostics/threads/deadlocks	platform	-
GET	/data/api/v1/diagnostics/threads/dump/formatted	platform	-
GET	/data/api/v1/diagnostics/threads/threaddump	platform	-
POST	/data/api/v1/encryption/encrypt	platform	-
GET	/data/api/v1/entity/browse	platform	-
POST	/data/api/v1/entity/enabled	platform	-
GET	/data/api/v1/entity/section/{section}	platform	-
GET	/data/api/v1/executors/private	platform	-
GET	/data/api/v1/executors/shared	platform	-
GET	/data/api/v1/gateway-info	platform	-
PUT	/data/api/v1/gateway-network-incoming/reset/{resourceName}	platform	-
PUT	/data/api/v1/gateway-network-incoming/toggleApproval/{remoteId}/{approve}	platform	-
PUT	/data/api/v1/gateway-network-outgoing/reset/{resourceName}	platform	-
DELETE	/data/api/v1/gateway-network/cancelQueueTasks/{serverId}/{queueId}	platform	-
GET	/data/api/v1/gateway-network/connectionDetails/{internalId}/{remoteGateway}	platform	-
GET	/data/api/v1/gateway-network/connections	platform	-
GET	/data/api/v1/gateway-network/crawler	platform	-
GET	/data/api/v1/gateway-network/diagnostics/getRemoteServerIds	platform	-
POST	/data/api/v1/gateway-network/diagnostics/testConnectionToServer/{serverId}	platform	-
GET	/data/api/v1/gateway-network/gatewayDetail/{serverId}	platform	-
GET	/data/api/v1/gateway-network/gateways	platform	-
GET	/data/api/v1/gateway-network/livediagram	platform	-
PUT	/data/api/v1/gateway-network/pauseQueue/{serverId}/{queueId}	platform	-
GET	/data/api/v1/gateway-network/remote-tag-providers/{serverId}	platform	-
PUT	/data/api/v1/gateway-network/resumeQueue/{serverId}/{queueId}	platform	-
GET	/data/api/v1/homepage-notes	platform	-
GET	/data/api/v1/launcher/download/{type}/{os}/{arch}	platform	-
GET	/data/api/v1/launcher/info/{type}/{os}/{arch}	platform	-
GET	/data/api/v1/launcher/list	platform	-
POST	/data/api/v1/leased-activation/activate	platform	-
GET	/data/api/v1/leased-activation/test-leased-license-server	platform	-
POST	/data/api/v1/leased-activation/unactivate/{key}	platform	-
GET	/data/api/v1/licenses	platform	-
GET	/data/api/v1/locales	platform	-
GET	/data/api/v1/logs	platform	-
GET	/data/api/v1/logs/download	platform	-
POST	/data/api/v1/logs/levelreset	platform	-
GET	/data/api/v1/logs/loggers	platform	-
POST	/data/api/v1/logs/loggers/{loggerName}	platform	-
POST	/data/api/v1/logs/monitoring-session	platform	-
POST	/data/api/v1/logs/properties	platform	-
DELETE	/data/api/v1/logs/properties/{key}	platform	-
POST	/data/api/v1/logs/properties/{key}	platform	-
GET	/data/api/v1/logs/properties/applied	platform	-
GET	/data/api/v1/logs/properties/registered	platform	-
PUT	/data/api/v1/managed-tag-provider	platform	-
GET	/data/api/v1/mode	platform	-
POST	/data/api/v1/mode	platform	-
DELETE	/data/api/v1/mode/{name}	platform	-
PUT	/data/api/v1/mode/{name}	platform	-
GET	/data/api/v1/modules/certificate	platform	-
POST	/data/api/v1/modules/certificate	platform	-
GET	/data/api/v1/modules/eula	platform	-
POST	/data/api/v1/modules/eula	platform	-
GET	/data/api/v1/modules/healthy	platform	-
POST	/data/api/v1/modules/install	platform	-
GET	/data/api/v1/modules/quarantined	platform	-
PUT	/data/api/v1/modules/toggle-state	platform	-
DELETE	/data/api/v1/modules/uninstall	platform	-
POST	/data/api/v1/modules/upload	platform	-
GET	/data/api/v1/overview	platform	-
GET	/data/api/v1/overview/connections	platform	-
GET	/data/api/v1/overview/gan	platform	-
GET	/data/api/v1/overview/name	platform	-
GET	/data/api/v1/overview/problems	platform	-
POST	/data/api/v1/projects	platform	-
DELETE	/data/api/v1/projects/{name}	platform	-
PUT	/data/api/v1/projects/{name}	platform	-
POST	/data/api/v1/projects/copy	platform	-
GET	/data/api/v1/projects/export/{name}	platform	-
GET	/data/api/v1/projects/find/{name}	platform	-
POST	/data/api/v1/projects/import/{name}	platform	-
GET	/data/api/v1/projects/list	platform	-
GET	/data/api/v1/projects/names	platform	-
GET	/data/api/v1/projects/parents	platform	-
GET	/data/api/v1/projects/parents/{name}	platform	-
POST	/data/api/v1/projects/rename/{name}	platform	-
GET	/data/api/v1/redundancy	platform	-
GET	/data/api/v1/redundancy/config	platform	-
PUT	/data/api/v1/redundancy/config	platform	-
GET	/data/api/v1/redundancy/events	platform	-
POST	/data/api/v1/redundancy/gwaction/failover	platform	-
POST	/data/api/v1/redundancy/gwaction/resync	platform	-
GET	/data/api/v1/redundancy/providers	platform	-
POST	/data/api/v1/resources/com.inductiveautomation.alarm-notification/alarm-notification-profile	module	com.inductiveautomation.alarm-notification
PUT	/data/api/v1/resources/com.inductiveautomation.alarm-notification/alarm-notification-profile	module	com.inductiveautomation.alarm-notification
DELETE	/data/api/v1/resources/com.inductiveautomation.alarm-notification/alarm-notification-profile/{name}/{signature}	module	com.inductiveautomation.alarm-notification
POST	/data/api/v1/resources/com.inductiveautomation.eam/agent-group	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/agent-group	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/agent-group/{name}/{signature}	module	com.inductiveautomation.eam
POST	/data/api/v1/resources/com.inductiveautomation.eam/agent-management	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/agent-management	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/agent-management/{name}/{signature}	module	com.inductiveautomation.eam
POST	/data/api/v1/resources/com.inductiveautomation.eam/eam-tasks	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/eam-tasks	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/eam-tasks/{name}/{signature}	module	com.inductiveautomation.eam
POST	/data/api/v1/resources/com.inductiveautomation.eam/event-thresholds	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/event-thresholds	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/event-thresholds/{signature}	module	com.inductiveautomation.eam
POST	/data/api/v1/resources/com.inductiveautomation.eam/hw-license-management	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/hw-license-management	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/hw-license-management/{name}/{signature}	module	com.inductiveautomation.eam
POST	/data/api/v1/resources/com.inductiveautomation.eam/leased-license-management	module	com.inductiveautomation.eam
PUT	/data/api/v1/resources/com.inductiveautomation.eam/leased-license-management	module	com.inductiveautomation.eam
DELETE	/data/api/v1/resources/com.inductiveautomation.eam/leased-license-management/{name}/{signature}	module	com.inductiveautomation.eam
